CodigoLocalidad,CodigoRecinto,CodigoMesa,CodigoPais,NombrePais,CodigoDepartamento,NombreDepartamento,CodigoCircunscripcionU,CodigoCircunscripcionE,CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,NombreLocalidad,NombreRecinto,NumeroMesa
267,25733,2068682,32,BOLIVIA,2,La Paz,0,1,6,Larecaja                                ,2,Guanay,Carura,U.E. Carura B,1
267,25733,2068702,32,BOLIVIA,2,La Paz,0,1,6,Larecaja                                ,2,Guanay,Carura,U.E. Carura B,3
3225,8016,2068822,32,BOLIVIA,2,La Paz,0,1,6,Larecaja                                ,2,Guanay,Candelaria,Unidad Educativa Candelaria,1
3225,8016,2068832,32,BOLIVIA,2,La Paz,0,1,6,Larecaja                                ,2,Guanay,Candelaria,Unidad Educativa Candelaria,2
3451,1,2068872,32,BOLIVIA,2,La Paz,0,1,6,Larecaja                                ,2,Guanay,Alto Chijini,U.E. Alto Chijini,1
4415,26155,2068892,32,BOLIVIA,2,La Paz,0,1,6,Larecaja                                ,2,Guanay,Challana Pampa,U.E. Challana,1
4546,32239,2068912,32,BOLIVIA,2,La Paz,0,1,6,Larecaja                                ,2,Guanay,Witoponte,U.E. 14 de Septiembre de Witoponte,1
304,2506,2069402,32,BOLIVIA,2,La Paz,0,1,6,Larecaja                                ,6,Tipuani,Cotapampa,U.E. Nestor Paz Zamora,1
285,2512,2070062,32,BOLIVIA,2,La Paz,0,1,6,Larecaja                                ,8,Teoponte,Tomachi,U.E. Tomachi,1
4547,32240,2070142,32,BOLIVIA,2,La Paz,0,1,6,Larecaja                                ,8,Teoponte,Uyapi,U.E. Uyapi,1
4533,32227,2070692,32,BOLIVIA,2,La Paz,0,1,7,Franz Tamayo                            ,1,Apolo,Pucasucho,U.E. Pucasucho,1
4534,32228,2070702,32,BOLIVIA,2,La Paz,0,1,7,Franz Tamayo                            ,1,Apolo,Sarayoj,U.E. Sarayoj,1
4536,32229,2070712,32,BOLIVIA,2,La Paz,0,1,7,Franz Tamayo                            ,1,Apolo,Nogal,U.E. Nogal,1
466,32265,2078732,32,BOLIVIA,2,La Paz,0,1,11,Sud Yungas                              ,2,Irupana,Irupana,U.E. 5 de Mayo,1
469,2652,2078772,32,BOLIVIA,2,La Paz,0,1,11,Sud Yungas                              ,2,Irupana,Chicaloma,U.E. Chicaloma,1
469,2652,2078782,32,BOLIVIA,2,La Paz,0,1,11,Sud Yungas                              ,2,Irupana,Chicaloma,U.E. Chicaloma,2
469,2652,2078792,32,BOLIVIA,2,La Paz,0,1,11,Sud Yungas                              ,2,Irupana,Chicaloma,U.E. Chicaloma,3
469,2652,2078802,32,BOLIVIA,2,La Paz,0,1,11,Sud Yungas                              ,2,Irupana,Chicaloma,U.E. Chicaloma,4
474,2656,2078902,32,BOLIVIA,2,La Paz,0,1,11,Sud Yungas                              ,2,Irupana,Laza,U.E. Victor Centellas,1
474,2656,2078912,32,BOLIVIA,2,La Paz,0,1,11,Sud Yungas                              ,2,Irupana,Laza,U.E. Victor Centellas,2
484,2664,2079572,32,BOLIVIA,2,La Paz,0,1,11,Sud Yungas                              ,4,Palos Blancos,Covendo,Esc. Franz Tamayo,1
484,2664,2079582,32,BOLIVIA,2,La Paz,0,1,11,Sud Yungas                              ,4,Palos Blancos,Covendo,Esc. Franz Tamayo,2
4549,32243,2079952,32,BOLIVIA,2,La Paz,0,1,11,Sud Yungas                              ,4,Palos Blancos,San Pedro de Cogotay,U.E. Cogotay,1
4548,32241,2086402,32,BOLIVIA,2,La Paz,0,1,14,Nor Yungas                              ,1,Coroico,Tocaña,U.E. Tocaña,1
4558,32253,2086412,32,BOLIVIA,2,La Paz,0,1,14,Nor Yungas                              ,1,Coroico,Cusilluni,U.E. Villa Rosario,1
4599,32344,2087272,32,BOLIVIA,2,La Paz,0,1,15,Abel Iturralde                          ,1,Ixiamas,Comunidad Originaria Tsimane Puerto Ruso Undumo,U.E. Puerto Ruso,1
