CodigoLocalidad,CodigoRecinto,CodigoMesa,InscritosHabilitados,VotoValido,VotoBlanco,VotoNuloDirecto,VotoNuloDeclinacion,TotalVotoNulo,VotoEmitido,VotoValidoReal,VotoEmitidoReal
267,25733,2068682,240,128,43,49,0,49,220,128,220
267,25733,2068692,240,139,44,32,0,32,215,139,215
267,25733,2068702,227,103,50,52,0,52,205,103,205
272,25774,2068712,67,45,8,6,0,6,59,45,59
286,2518,2068762,240,138,60,28,6,34,232,138,232
286,2518,2068772,85,56,18,9,0,9,83,56,83
287,2515,2068782,139,90,21,14,4,18,129,90,129
3204,8018,2068812,112,47,31,22,0,22,100,47,100
3225,8016,2068822,240,141,49,33,0,33,223,141,223
3225,8016,2068832,240,127,54,41,0,41,222,127,222
3225,8016,2068842,98,57,23,12,2,14,94,57,94
3451,1,2068872,47,19,10,14,0,14,43,19,43
3610,1,2068882,246,113,45,61,0,61,219,113,219
4415,26155,2068892,234,156,39,23,0,23,218,156,218
4495,32128,2068902,146,95,12,29,0,29,136,95,136
4546,32239,2068912,258,139,61,46,0,46,246,139,246
304,2506,2069402,96,73,13,6,0,6,92,73,92
3453,1,2069862,240,150,45,31,0,31,226,150,226
3453,1,2069872,240,121,51,40,0,40,212,121,212
3453,1,2069882,240,142,44,35,0,35,221,142,221
3453,1,2069892,185,104,31,35,0,35,170,104,170
285,2512,2070062,240,121,33,56,1,57,211,121,211
285,2512,2070072,240,121,44,46,1,47,212,121,212
285,2512,2070082,29,12,3,10,0,10,25,12,25
4547,32240,2070142,240,179,16,24,1,25,220,179,220
4547,32240,2070152,25,13,9,3,0,3,25,13,25
309,2536,2070452,240,91,55,62,2,64,210,91,210
309,2536,2070462,134,55,37,25,6,31,123,55,123
313,2529,2070532,240,91,53,55,12,67,211,91,211
313,2529,2070542,255,94,57,67,7,74,225,94,225
3454,1,2070602,240,75,35,93,16,109,219,75,219
3454,1,2070612,71,29,7,24,4,28,64,29,64
3455,1,2070622,240,74,100,24,0,24,198,74,198
3455,1,2070632,29,11,4,9,0,9,24,11,24
3456,1,2070642,89,29,5,26,14,40,74,29,74
4529,32223,2070662,137,58,19,57,0,57,134,58,134
4530,32224,2070672,87,23,38,13,11,24,85,23,85
4533,32227,2070692,133,36,37,52,0,52,125,36,125
4534,32228,2070702,39,4,20,11,3,14,38,4,38
4536,32229,2070712,69,20,23,18,0,18,61,20,61
4562,32266,2077402,115,66,28,19,0,19,113,66,113
466,32265,2078732,21,14,3,1,0,1,18,14,18
469,2652,2078772,240,132,68,22,0,22,222,132,222
469,2652,2078782,240,104,68,38,0,38,210,104,210
469,2652,2078792,240,98,81,26,0,26,205,98,205
469,2652,2078802,180,91,51,16,0,16,158,91,158
474,2656,2078902,240,106,80,20,0,20,206,106,206
474,2656,2078912,98,53,26,8,0,8,87,53,87
484,2664,2079572,240,97,48,70,2,72,217,97,217
484,2664,2079582,253,82,78,68,3,71,231,82,231
487,2666,2079662,240,99,50,64,4,68,217,99,217
487,2666,2079672,240,122,46,48,0,48,216,122,216
487,2666,2079682,198,81,48,48,0,48,177,81,177
4412,26152,2079892,240,96,55,67,2,69,220,96,220
4412,26152,2079902,208,95,48,49,4,53,196,95,196
4539,32232,2079922,240,74,56,97,0,97,227,74,227
4539,32232,2079932,29,12,3,12,0,12,27,12,27
4542,32235,2079942,33,13,11,8,0,8,32,13,32
4549,32243,2079952,119,93,10,7,3,10,113,93,113
4552,32246,2079962,67,20,10,35,0,35,65,20,65
4548,32241,2086402,185,92,58,26,0,26,176,92,176
4558,32253,2086412,132,60,53,16,0,16,129,60,129
631,2576,2087142,243,143,33,28,7,35,211,143,211
633,2577,2087172,147,77,34,2,25,27,138,77,138
635,1060,2087182,240,114,77,17,0,17,208,114,208
635,1060,2087192,29,18,7,1,0,1,26,18,26
3466,1,2087222,118,53,33,15,4,19,105,53,105
3467,1,2087232,137,86,21,13,0,13,120,86,120
3468,1,2087242,21,13,4,0,1,1,18,13,18
4599,32344,2087272,118,57,31,21,1,22,110,57,110
627,2575,2087452,228,158,28,14,1,15,201,158,201
628,2542,2087462,240,104,71,31,2,33,208,104,208
628,2542,2087472,240,124,60,38,2,40,224,124,224
628,2542,2087482,240,102,51,61,0,61,214,102,214
628,2542,2087492,240,100,64,36,5,41,205,100,205
628,2542,2087502,240,106,62,40,2,42,210,106,210
628,2542,2087512,169,77,44,36,1,37,158,77,158
3470,1,2087522,240,117,53,36,0,36,206,117,206
3470,1,2087532,80,52,13,9,0,9,74,52,74
3471,1,2087542,144,55,53,19,0,19,127,55,127
638,2418,2087582,141,21,21,97,0,97,139,21,139
639,25768,2087592,240,81,34,99,0,99,214,81,214
639,25768,2087602,240,101,44,76,0,76,221,101,221
639,25768,2087612,240,116,32,72,0,72,220,116,220
639,25768,2087622,240,94,30,99,0,99,223,94,223
639,25768,2087632,174,96,11,56,0,56,163,96,163
640,25769,2087642,240,107,52,62,2,64,223,107,223
640,25769,2087652,45,21,5,17,0,17,43,21,43
641,25589,2087662,184,99,42,28,3,31,172,99,172
642,2385,2087672,145,51,29,44,0,44,124,51,124
643,25770,2087682,240,87,50,77,0,77,214,87,214
643,25770,2087692,74,50,10,14,0,14,74,50,74
3235,8014,2087722,188,86,40,49,0,49,175,86,175
3313,25590,2087732,240,114,34,73,3,76,224,114,224
3313,25590,2087742,35,24,3,8,0,8,35,24,35
3347,25767,2087752,240,117,45,55,0,55,217,117,217
3383,1,2087772,136,53,23,49,0,49,125,53,125
3472,1,2087782,240,81,66,77,0,77,224,81,224
3472,1,2087792,67,34,7,20,0,20,61,34,61
3623,1,2087802,166,70,17,67,0,67,154,70,154
3625,1,2087822,123,61,16,39,0,39,116,61,116
4464,26496,2087832,91,27,20,34,0,34,81,27,81
4465,26497,2087842,104,25,16,53,1,54,95,25,95
4521,32215,2087852,68,8,21,37,0,37,66,8,66
4527,32220,2087862,84,49,10,24,0,24,83,49,83
4528,32222,2087872,55,38,5,11,0,11,54,38,54
4555,32249,2087882,46,20,7,19,0,19,46,20,46
4556,32250,2087892,35,11,14,8,1,9,34,11,34
4557,32251,2087902,28,13,7,8,0,8,28,13,28
4583,32295,2087912,64,44,9,11,0,11,64,44,64
644,25772,2087922,180,60,41,69,0,69,170,60,170
645,2388,2087932,53,30,12,8,0,8,50,30,50
646,2425,2087942,50,18,3,18,4,22,43,18,43
647,25771,2087952,162,55,41,47,0,47,143,55,143
648,2419,2087962,121,48,21,49,0,49,118,48,118
649,2422,2087972,56,19,11,24,0,24,54,19,54
650,25773,2087982,126,75,19,28,0,28,122,75,122
651,2458,2087992,240,85,54,84,0,84,223,85,223
651,2458,2088002,34,10,1,22,0,22,33,10,33
3474,1,3052912,240,88,86,40,0,40,214,88,214
3474,1,3052922,149,51,40,38,0,38,129,51,129
3475,1,3052932,88,60,7,5,0,5,72,60,72
4029,25357,3053162,154,40,31,58,0,58,129,40,129
4122,25539,3053172,155,19,5,119,0,119,143,19,143
4423,26181,3053282,240,55,40,116,1,117,212,55,212
4423,26181,3053292,99,19,16,48,0,48,83,19,83
3248,1242,3055632,92,19,14,53,0,53,86,19,86
3477,1,3055642,97,74,3,10,0,10,87,74,87
3478,1,3055652,161,30,39,62,0,62,131,30,131
3479,1,3055662,227,35,21,126,0,126,182,35,182
3480,1,3055672,114,49,9,32,0,32,90,49,90
3481,1,3055682,80,31,6,32,0,32,69,31,69
3855,1,3055722,145,73,14,32,0,32,119,73,119
4110,25519,3055732,117,52,13,35,0,35,100,52,100
4407,26141,3055822,55,51,2,2,0,2,55,51,55
3482,1,3057672,153,141,1,11,0,11,153,141,153
3489,1,4012792,108,72,14,13,0,13,99,72,99
3492,1,4013972,87,53,19,9,0,9,81,53,81
2181,2,4015692,240,115,34,28,0,28,177,115,177
2181,2,4015702,240,122,35,25,0,25,182,122,182
2181,2,4015712,85,40,10,15,0,15,65,40,65
2182,2,4015722,141,102,15,9,0,9,126,102,126
2917,32088,4015732,77,35,4,28,0,28,67,35,67
3494,1,4016672,196,103,30,44,0,44,177,103,177
1958,32333,6012692,38,31,4,2,0,2,37,31,37
1964,15,6012882,240,109,80,13,0,13,202,109,202
1964,15,6012892,240,120,71,26,0,26,217,120,217
1964,15,6012902,240,134,58,20,0,20,212,134,212
1964,15,6012912,240,111,72,29,0,29,212,111,212
1964,15,6012922,58,27,12,9,0,9,48,27,48
1965,16,6012932,240,115,67,18,0,18,200,115,200
1965,16,6012942,240,116,43,19,0,19,178,116,178
1965,16,6012952,138,46,60,2,4,6,112,46,112
3163,2,6013042,135,61,48,13,0,13,122,61,122
3506,2,6013132,240,148,58,15,0,15,221,148,221
3506,2,6013142,46,23,13,5,0,5,41,23,41
4593,32334,6013152,65,34,13,15,0,15,62,34,62
