CodigoLocalidad,CodigoRecinto,CodigoMesa,opcion,conteo
267,25733,2068682,AP,7
267,25733,2068682,LYP-ADN,2
267,25733,2068682,APB-SUMATE,14
267,25733,2068682,LIBRE,9
267,25733,2068682,FP,1
267,25733,2068682,MAS-IPSP,2
267,25733,2068682,UNIDAD,1
267,25733,2068682,PDC,92
267,25733,2068702,AP,4
267,25733,2068702,LYP-ADN,3
267,25733,2068702,APB-SUMATE,9
267,25733,2068702,LIBRE,8
267,25733,2068702,FP,0
267,25733,2068702,MAS-IPSP,7
267,25733,2068702,UNIDAD,1
267,25733,2068702,PDC,71
272,25774,2068712,AP,2
272,25774,2068712,LYP-ADN,3
272,25774,2068712,APB-SUMATE,10
272,25774,2068712,LIBRE,5
272,25774,2068712,FP,0
272,25774,2068712,MAS-IPSP,5
272,25774,2068712,UNIDAD,2
272,25774,2068712,PDC,18
286,2518,2068762,AP,1
286,2518,2068762,LYP-ADN,2
286,2518,2068762,APB-SUMATE,48
286,2518,2068762,LIBRE,1
286,2518,2068762,FP,4
286,2518,2068762,MAS-IPSP,8
286,2518,2068762,UNIDAD,2
286,2518,2068762,PDC,72
286,2518,2068772,AP,4
286,2518,2068772,LYP-ADN,0
286,2518,2068772,APB-SUMATE,21
286,2518,2068772,LIBRE,1
286,2518,2068772,FP,2
286,2518,2068772,MAS-IPSP,1
286,2518,2068772,UNIDAD,2
286,2518,2068772,PDC,25
287,2515,2068782,AP,4
287,2515,2068782,LYP-ADN,0
287,2515,2068782,APB-SUMATE,31
287,2515,2068782,LIBRE,4
287,2515,2068782,FP,1
287,2515,2068782,MAS-IPSP,4
287,2515,2068782,UNIDAD,6
287,2515,2068782,PDC,40
3204,8018,2068812,AP,3
3204,8018,2068812,LYP-ADN,4
3204,8018,2068812,APB-SUMATE,4
3204,8018,2068812,LIBRE,1
3204,8018,2068812,FP,1
3204,8018,2068812,MAS-IPSP,4
3204,8018,2068812,UNIDAD,0
3204,8018,2068812,PDC,30
3225,8016,2068822,AP,1
3225,8016,2068822,LYP-ADN,1
3225,8016,2068822,APB-SUMATE,20
3225,8016,2068822,LIBRE,9
