CodigoLocalidad,CodigoRecinto,CodigoMesa,InscritosHabilitados,VotoValido,VotoBlanco,VotoNuloDirecto,VotoNuloDeclinacion,TotalVotoNulo,VotoEmitido,VotoValidoReal,VotoEmitidoReal
3804,25129,100014,264,82,1,10,1,11,94,82,94
3611,25055,100024,320,95,4,13,1,14,113,95,113
3611,25055,100034,320,83,1,22,1,23,107,83,107
3611,25055,100044,320,76,1,33,0,33,110,76,110
3611,25055,100054,320,80,4,27,1,28,112,80,112
3611,25055,100064,320,72,5,25,0,25,102,72,102
3611,25055,100074,320,87,0,27,1,28,115,87,115
3611,25055,100084,320,78,1,28,1,29,108,78,108
3611,25055,100094,320,80,3,23,0,23,106,80,106
3611,25055,100104,320,78,0,28,2,30,108,78,108
3611,25055,100114,288,83,3,21,0,21,107,83,107
3611,25056,100124,320,69,1,50,2,52,122,69,122
3611,25056,100134,320,69,2,45,2,47,118,69,118
3611,25056,100144,320,84,3,31,2,33,120,84,120
3611,25056,100154,320,84,3,38,2,40,127,84,127
3611,25056,100164,320,74,2,44,0,44,120,74,120
3611,25056,100174,320,82,2,42,2,44,128,82,128
3611,25056,100184,203,44,0,23,0,23,67,44,67
3611,25057,100194,320,61,1,40,1,41,103,61,103
3611,25057,100204,320,69,4,51,0,51,124,69,124
3611,25057,100214,320,74,2,39,0,39,115,74,115
3611,25057,100224,320,73,8,43,0,43,124,73,124
3611,25057,100234,320,73,11,45,3,48,132,73,132
3611,25057,100244,320,74,0,44,2,46,120,74,120
3611,25057,100254,320,61,1,36,2,38,100,61,100
3611,25057,100264,320,66,3,32,0,32,101,66,101
3611,25057,100274,278,69,2,35,1,36,107,69,107
3611,25058,100284,320,89,8,52,0,52,149,89,149
3611,25058,100294,320,86,9,57,0,57,152,86,152
3611,25058,100304,320,80,7,58,2,60,147,80,147
3611,25058,100314,320,77,1,63,2,65,143,77,143
3611,25058,100324,320,87,2,47,2,49,138,87,138
3611,25058,100334,320,87,1,55,2,57,145,87,145
3611,25058,100344,325,81,6,39,2,41,128,81,128
3611,25059,100354,320,77,4,43,1,44,125,77,125
3611,25059,100364,320,94,2,42,2,44,140,94,140
3611,25059,100374,320,79,2,37,0,37,118,79,118
3611,25059,100384,320,71,0,58,2,60,131,71,131
3611,25059,100394,320,82,3,39,1,40,125,82,125
3611,25059,100404,320,75,3,56,4,60,138,75,138
3611,25059,100414,320,83,2,30,0,30,115,83,115
3611,25059,100424,320,69,2,38,0,38,109,69,109
3611,25059,100434,283,67,6,38,3,41,114,67,114
3611,25157,100444,320,110,3,20,0,20,133,110,133
3611,25157,100454,320,93,1,20,2,22,116,93,116
3611,25157,100464,320,107,3,22,0,22,132,107,132
3611,25157,100474,320,101,2,17,1,18,121,101,121
3611,25157,100484,320,120,1,20,0,20,141,120,141
3611,25157,100494,320,106,2,16,1,17,125,106,125
3611,25157,100504,67,25,0,4,0,4,29,25,29
3611,25158,100514,320,91,1,40,0,40,132,91,132
3611,25158,100524,320,98,3,32,0,32,133,98,133
3611,25158,100534,320,83,5,42,0,42,130,83,130
3611,25158,100544,320,87,5,44,4,48,140,87,140
3611,25158,100554,320,83,3,52,3,55,141,83,141
3611,25158,100564,320,102,3,36,0,36,141,102,141
3611,25158,100574,320,93,1,37,1,38,132,93,132
3611,25158,100584,286,84,3,32,1,33,120,84,120
3611,25160,100594,259,65,1,38,2,40,106,65,106
3611,25160,100604,320,70,3,57,2,59,132,70,132
3611,25160,100614,320,67,7,50,1,51,125,67,125
3611,25160,100624,320,72,3,45,0,45,120,72,120
3611,25160,100634,320,78,3,51,0,51,132,78,132
3611,25160,100644,320,75,1,37,2,39,115,75,115
3611,25160,100654,320,77,7,50,0,50,134,77,134
3611,25160,100664,320,95,4,48,1,49,148,95,148
3611,25160,100674,320,89,5,42,0,42,136,89,136
3611,25160,100684,320,87,2,49,1,50,139,87,139
3611,25160,100694,320,76,3,49,1,50,129,76,129
3611,25161,100704,320,77,7,27,0,27,111,77,111
3611,25161,100714,320,54,2,39,3,42,98,54,98
3611,25161,100724,320,60,6,36,0,36,102,60,102
3611,25161,100734,320,68,2,37,2,39,109,68,109
3611,25161,100744,320,63,3,28,1,29,95,63,95
3611,25161,100754,274,52,5,31,0,31,88,52,88
3611,25162,100764,320,78,2,17,1,18,98,78,98
3611,25162,100774,320,86,3,5,1,6,95,86,95
3611,25162,100784,320,76,1,36,1,37,114,76,114
3611,25162,100794,320,73,2,30,1,31,106,73,106
3611,25162,100804,108,29,1,8,0,8,38,29,38
3611,25163,100814,320,46,2,40,0,40,88,46,88
3611,25163,100824,320,63,1,32,2,34,98,63,98
3611,25163,100834,320,71,3,28,0,28,102,71,102
3611,25163,100844,320,67,2,32,0,32,101,67,101
3611,25163,100854,320,63,1,30,0,30,94,63,94
3611,25163,100864,132,30,0,13,0,13,43,30,43
3611,25164,100874,320,79,4,46,3,49,132,79,132
3611,25164,100884,320,85,2,47,3,50,137,85,137
3611,25164,100894,320,77,2,47,0,47,126,77,126
3611,25164,100904,320,97,2,44,0,44,143,97,143
3611,25164,100914,320,70,3,53,1,54,127,70,127
3611,25164,100924,320,75,0,36,0,36,111,75,111
3611,25164,100934,320,84,1,46,1,47,132,84,132
