CodigoLocalidad,CodigoRecinto,CodigoMesa,CodigoPais,NombrePais,CodigoDepartamento,NombreDepartamento,CodigoCircunscripcionU,CodigoCircunscripcionE,CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,NombreLocalidad,NombreRecinto,NumeroMesa
1204,52,1000011,32,BOLIVIA,1,Chuquisaca,3,0,1,Oropeza                                 ,1,Sucre,Arabate,Escuela Arabate,1
1205,53,1000021,32,BOLIVIA,1,Chuquisaca,3,0,1,Oropeza                                 ,1,Sucre,Chaunaca,Escuela Seccional De Chaunaca,1
1205,53,1000031,32,BOLIVIA,1,Chuquisaca,3,0,1,Oropeza                                 ,1,Sucre,Chaunaca,Escuela Seccional De Chaunaca,2
1206,54,1000041,32,BOLIVIA,1,Chuquisaca,3,0,1,Oropeza                                 ,1,Sucre,Chuqui Chuqui,Unidad Educativa Chuqui Chuqui,1
1206,54,1000051,32,BOLIVIA,1,Chuquisaca,3,0,1,Oropeza                                 ,1,Sucre,Chuqui Chuqui,Unidad Educativa Chuqui Chuqui,2
1206,54,1000061,32,BOLIVIA,1,Chuquisaca,3,0,1,Oropeza                                 ,1,Sucre,Chuqui Chuqui,Unidad Educativa Chuqui Chuqui,3
1207,55,1000071,32,BOLIVIA,1,Chuquisaca,3,0,1,Oropeza                                 ,1,Sucre,Surima,Escuela Fray Gabriel Maria Landini,1
1207,55,1000081,32,BOLIVIA,1,Chuquisaca,3,0,1,Oropeza                                 ,1,Sucre,Surima,Escuela Fray Gabriel Maria Landini,2
1207,55,1000091,32,BOLIVIA,1,Chuquisaca,3,0,1,Oropeza                                 ,1,Sucre,Surima,Escuela Fray Gabriel Maria Landini,3
1207,55,1000101,32,BOLIVIA,1,Chuquisaca,3,0,1,Oropeza                                 ,1,Sucre,Surima,Escuela Fray Gabriel Maria Landini,4
1208,56,1000111,32,BOLIVIA,1,Chuquisaca,3,0,1,Oropeza                                 ,1,Sucre,Imilla Huañusca,Escuela Fray Gabriel Mariscal,1
1208,56,1000121,32,BOLIVIA,1,Chuquisaca,3,0,1,Oropeza                                 ,1,Sucre,Imilla Huañusca,Escuela Fray Gabriel Mariscal,2
1218,58,1000131,32,BOLIVIA,1,Chuquisaca,3,0,1,Oropeza                                 ,1,Sucre,Punilla,Escuela Punilla,1
1218,58,1000141,32,BOLIVIA,1,Chuquisaca,3,0,1,Oropeza                                 ,1,Sucre,Punilla,Escuela Punilla,2
1219,59,1000151,32,BOLIVIA,1,Chuquisaca,3,0,1,Oropeza                                 ,1,Sucre,Mojotoro,Unidad Educativa La Palma,1
1219,59,1000161,32,BOLIVIA,1,Chuquisaca,3,0,1,Oropeza                                 ,1,Sucre,Mojotoro,Unidad Educativa La Palma,2
1219,59,1000171,32,BOLIVIA,1,Chuquisaca,3,0,1,Oropeza                                 ,1,Sucre,Mojotoro,Unidad Educativa La Palma,3
1219,59,1000181,32,BOLIVIA,1,Chuquisaca,3,0,1,Oropeza                                 ,1,Sucre,Mojotoro,Unidad Educativa La Palma,4
1220,60,1000191,32,BOLIVIA,1,Chuquisaca,3,0,1,Oropeza                                 ,1,Sucre,Ckacha Ckacha,Escuela José Sampa,1
1220,60,1000201,32,BOLIVIA,1,Chuquisaca,3,0,1,Oropeza                                 ,1,Sucre,Ckacha Ckacha,Escuela José Sampa,2
1221,61,1000211,32,BOLIVIA,1,Chuquisaca,3,0,1,Oropeza                                 ,1,Sucre,El Chaco,Unidad Educativa Luis Espinal,1
1221,61,1000221,32,BOLIVIA,1,Chuquisaca,3,0,1,Oropeza                                 ,1,Sucre,El Chaco,Unidad Educativa Luis Espinal,2
1221,61,1000231,32,BOLIVIA,1,Chuquisaca,3,0,1,Oropeza                                 ,1,Sucre,El Chaco,Unidad Educativa Luis Espinal,3
1223,62,1000241,32,BOLIVIA,1,Chuquisaca,3,0,1,Oropeza                                 ,1,Sucre,Potolo,U. Edu. Gualberto Villarroel,1
1223,62,1000251,32,BOLIVIA,1,Chuquisaca,3,0,1,Oropeza                                 ,1,Sucre,Potolo,U. Edu. Gualberto Villarroel,2
1223,62,1000261,32,BOLIVIA,1,Chuquisaca,3,0,1,Oropeza                                 ,1,Sucre,Potolo,U. Edu. Gualberto Villarroel,3
1223,62,1000271,32,BOLIVIA,1,Chuquisaca,3,0,1,Oropeza                                 ,1,Sucre,Potolo,U. Edu. Gualberto Villarroel,4
1223,62,1000281,32,BOLIVIA,1,Chuquisaca,3,0,1,Oropeza                                 ,1,Sucre,Potolo,U. Edu. Gualberto Villarroel,5
1225,63,1000291,32,BOLIVIA,1,Chuquisaca,3,0,1,Oropeza                                 ,1,Sucre,Quila Quila,Unidad Educativa Quila Quila,1
1225,63,1000301,32,BOLIVIA,1,Chuquisaca,3,0,1,Oropeza                                 ,1,Sucre,Quila Quila,Unidad Educativa Quila Quila,2
1225,63,1000311,32,BOLIVIA,1,Chuquisaca,3,0,1,Oropeza                                 ,1,Sucre,Quila Quila,Unidad Educativa Quila Quila,3
1230,65,1000321,32,BOLIVIA,1,Chuquisaca,3,0,1,Oropeza                                 ,1,Sucre,Maragua,Colegio 24 de Septiembre   Maragua,1
1230,65,1000331,32,BOLIVIA,1,Chuquisaca,3,0,1,Oropeza                                 ,1,Sucre,Maragua,Colegio 24 de Septiembre   Maragua,2
2794,509,1000341,32,BOLIVIA,1,Chuquisaca,2,0,1,Oropeza                                 ,1,Sucre,Sucre,Kinder Gerardo Vaca Guzman,1
2794,509,1000351,32,BOLIVIA,1,Chuquisaca,2,0,1,Oropeza                                 ,1,Sucre,Sucre,Kinder Gerardo Vaca Guzman,2
2794,509,1000361,32,BOLIVIA,1,Chuquisaca,2,0,1,Oropeza                                 ,1,Sucre,Sucre,Kinder Gerardo Vaca Guzman,3
2794,509,1000371,32,BOLIVIA,1,Chuquisaca,2,0,1,Oropeza                                 ,1,Sucre,Sucre,Kinder Gerardo Vaca Guzman,4
2794,517,1000381,32,BOLIVIA,1,Chuquisaca,2,0,1,Oropeza                                 ,1,Sucre,Sucre,Escuela Daniel Calvo,1
2794,517,1000391,32,BOLIVIA,1,Chuquisaca,2,0,1,Oropeza                                 ,1,Sucre,Sucre,Escuela Daniel Calvo,2
2794,517,1000401,32,BOLIVIA,1,Chuquisaca,2,0,1,Oropeza                                 ,1,Sucre,Sucre,Escuela Daniel Calvo,3
2794,103,1000411,32,BOLIVIA,1,Chuquisaca,1,0,1,Oropeza                                 ,1,Sucre,Sucre,Esc. Mariscal De Ayacucho,1
2794,103,1000421,32,BOLIVIA,1,Chuquisaca,1,0,1,Oropeza                                 ,1,Sucre,Sucre,Esc. Mariscal De Ayacucho,2
2794,103,1000431,32,BOLIVIA,1,Chuquisaca,1,0,1,Oropeza                                 ,1,Sucre,Sucre,Esc. Mariscal De Ayacucho,3
2794,522,1000441,32,BOLIVIA,1,Chuquisaca,1,0,1,Oropeza                                 ,1,Sucre,Sucre,Col. Bernardo Monteagudo,1
2794,522,1000451,32,BOLIVIA,1,Chuquisaca,1,0,1,Oropeza                                 ,1,Sucre,Sucre,Col. Bernardo Monteagudo,2
2794,522,1000461,32,BOLIVIA,1,Chuquisaca,1,0,1,Oropeza                                 ,1,Sucre,Sucre,Col. Bernardo Monteagudo,3
2794,522,1000471,32,BOLIVIA,1,Chuquisaca,1,0,1,Oropeza                                 ,1,Sucre,Sucre,Col. Bernardo Monteagudo,4
2794,522,1000481,32,BOLIVIA,1,Chuquisaca,1,0,1,Oropeza                                 ,1,Sucre,Sucre,Col. Bernardo Monteagudo,5
2794,522,1000491,32,BOLIVIA,1,Chuquisaca,1,0,1,Oropeza                                 ,1,Sucre,Sucre,Col. Bernardo Monteagudo,6
2794,202,1000501,32,BOLIVIA,1,Chuquisaca,2,0,1,Oropeza                                 ,1,Sucre,Sucre,Col. Don Bosco,1
2794,202,1000511,32,BOLIVIA,1,Chuquisaca,2,0,1,Oropeza                                 ,1,Sucre,Sucre,Col. Don Bosco,2
2794,202,1000521,32,BOLIVIA,1,Chuquisaca,2,0,1,Oropeza                                 ,1,Sucre,Sucre,Col. Don Bosco,3
2794,202,1000531,32,BOLIVIA,1,Chuquisaca,2,0,1,Oropeza                                 ,1,Sucre,Sucre,Col. Don Bosco,4
2794,202,1000541,32,BOLIVIA,1,Chuquisaca,2,0,1,Oropeza                                 ,1,Sucre,Sucre,Col. Don Bosco,5
2794,202,1000551,32,BOLIVIA,1,Chuquisaca,2,0,1,Oropeza                                 ,1,Sucre,Sucre,Col. Don Bosco,6
2794,202,1000561,32,BOLIVIA,1,Chuquisaca,2,0,1,Oropeza                                 ,1,Sucre,Sucre,Col. Don Bosco,7
2794,202,1000571,32,BOLIVIA,1,Chuquisaca,2,0,1,Oropeza                                 ,1,Sucre,Sucre,Col. Don Bosco,8
2794,204,1000581,32,BOLIVIA,1,Chuquisaca,2,0,1,Oropeza                                 ,1,Sucre,Sucre,Col. Sagrado Corazon,1
2794,204,1000591,32,BOLIVIA,1,Chuquisaca,2,0,1,Oropeza                                 ,1,Sucre,Sucre,Col. Sagrado Corazon,2
2794,204,1000601,32,BOLIVIA,1,Chuquisaca,2,0,1,Oropeza                                 ,1,Sucre,Sucre,Col. Sagrado Corazon,3
2794,204,1000611,32,BOLIVIA,1,Chuquisaca,2,0,1,Oropeza                                 ,1,Sucre,Sucre,Col. Sagrado Corazon,4
2794,204,1000621,32,BOLIVIA,1,Chuquisaca,2,0,1,Oropeza                                 ,1,Sucre,Sucre,Col. Sagrado Corazon,5
2794,106,1000631,32,BOLIVIA,1,Chuquisaca,1,0,1,Oropeza                                 ,1,Sucre,Sucre,Kinder San Vicente De Paul,1
