CodigoLocalidad,CodigoRecinto,CodigoMesa,InscritosHabilitados,VotoValido,VotoBlanco,VotoNuloDirecto,VotoNuloDeclinacion,TotalVotoNulo,VotoEmitido,VotoValidoReal,VotoEmitidoReal
1204,52,1000011,123,25,26,45,0,45,96,25,96
1205,53,1000021,240,78,41,79,0,79,198,78,198
1205,53,1000031,33,9,6,14,0,14,29,9,29
1206,54,1000041,240,78,54,69,0,69,201,78,201
1206,54,1000051,240,95,41,67,0,67,203,95,203
1206,54,1000061,114,48,21,17,0,17,86,48,86
1207,55,1000071,240,93,38,67,0,67,198,93,198
1207,55,1000081,240,97,41,74,0,74,212,97,212
1207,55,1000091,240,102,39,57,0,57,198,102,198
1207,55,1000101,43,11,5,16,0,16,32,11,32
1208,56,1000111,240,75,44,85,0,85,204,75,204
1208,56,1000121,55,23,11,13,0,13,47,23,47
1218,58,1000131,240,113,63,45,0,45,221,113,221
1218,58,1000141,25,10,9,5,0,5,24,10,24
1219,59,1000151,240,92,53,54,0,54,199,92,199
1219,59,1000161,240,105,49,51,0,51,205,105,205
1219,59,1000171,240,126,29,50,0,50,205,126,205
1219,59,1000181,53,37,6,3,0,3,46,37,46
1220,60,1000191,240,119,45,47,1,48,212,119,212
1220,60,1000201,36,22,10,3,0,3,35,22,35
1221,61,1000211,240,103,27,86,0,86,216,103,216
1221,61,1000221,240,102,38,63,0,63,203,102,203
1221,61,1000231,176,73,34,50,0,50,157,73,157
1223,62,1000241,240,85,51,75,0,75,211,85,211
1223,62,1000251,240,90,54,75,0,75,219,90,219
1223,62,1000261,240,86,46,73,0,73,205,86,205
1223,62,1000271,240,84,51,77,0,77,212,84,212
1223,62,1000281,40,18,10,9,0,9,37,18,37
1225,63,1000291,240,98,70,39,0,39,207,98,207
1225,63,1000301,240,81,84,39,0,39,204,81,204
1225,63,1000311,122,40,33,26,0,26,99,40,99
1230,65,1000321,240,79,58,59,2,61,198,79,198
1230,65,1000331,59,18,14,16,0,16,48,18,48
2794,509,1000341,240,174,27,7,0,7,208,174,208
2794,509,1000351,240,181,18,11,0,11,210,181,210
2794,509,1000361,240,176,23,6,0,6,205,176,205
2794,509,1000371,24,14,0,2,0,2,16,14,16
2794,517,1000381,240,167,26,9,0,9,202,167,202
2794,517,1000391,240,178,26,10,0,10,214,178,214
2794,517,1000401,233,177,15,6,0,6,198,177,198
2794,103,1000411,240,193,22,3,0,3,218,193,218
2794,103,1000421,240,182,25,8,0,8,215,182,215
2794,103,1000431,29,25,3,0,0,0,28,25,28
2794,522,1000441,240,184,18,13,0,13,215,184,215
2794,522,1000451,240,189,23,9,0,9,221,189,221
2794,522,1000461,240,187,19,11,1,12,218,187,218
2794,522,1000471,240,182,17,8,0,8,207,182,207
2794,522,1000481,240,182,20,9,0,9,211,182,211
2794,522,1000491,37,28,0,2,0,2,30,28,30
2794,202,1000501,240,193,17,4,0,4,214,193,214
2794,202,1000511,240,189,18,9,0,9,216,189,216
2794,202,1000521,240,167,32,10,0,10,209,167,209
2794,202,1000531,240,188,20,8,0,8,216,188,216
2794,202,1000541,240,176,22,5,1,6,204,176,204
2794,202,1000551,240,180,23,9,0,9,212,180,212
2794,202,1000561,240,182,10,14,1,15,207,182,207
